"TeamID","Team","TotalWins"
"184",Team DylanteroLIVE,1
"1856",Noobs With Attitude,1
"188",Cloud9,146
"190",MIXUP,6
"1903",YAZDA,5
"1910",Team Duelist,3
"1911",Imperial Esports,23
"1913",RARE Esports,18
"1915",NXL LIGAGAME,30
"1916",Ingaming,13
"1919",Kingsmen,41
"1920",Las Venturas,3
"1921",Zero Synergy,1
"1926",SE ATLAS,5
"1927",Bestial,1
"1932",Hashira,15
"1934",ArkAngel,18
"1939",JMNY6,3
"1941",Boss Gold,2
"1942",Team 600,7
"1944",Excelsa,4
"1948",Running Dogs,2
"195",Code7,6
"1964","2G4L",5
"1969",Rebirth Esports,3
"197",Rugratz,3
"1970",TNL Esports,48
"1979",b Tang,1
"198",DRX Vision Strikers,92
"1980",Lightailty,1
"1981",Dark Passage,6
"1982",DfuseTeam,29
"1988",Aracne Esports,2
"1991",Akave Esports,8
"1995",Penguins of the night,2
"1996","99cents",1
"1998",Atletica Pro Gaming 9,1
"2",Sentinels,178
"20",StartedFromCS,10
"2011",ex-Serenity,11
"2012",Swag Silicone,2
"2019",LANCHILLERS,1
"2026",Arbalest,6
"2028",XTZ Esports,8
"2029",WAY Esports,3
"203",paiN Gaming,22
"2030",ex-Reckless Lads,2
"2031",KINGSLAYERS,1
"2032",ONIC G,27
"2033",Big Frames,13
"2034",VISU Gaming,6
"2035",ehehxd,1
"2036",Besiktas Esports,16
"2038",Team ScreaM,1
"204",CYCLOPS athlete gaming,8
"2040",Team gob b,2
"2042",LJG,4
"2043",Team Z,1
"2044",ex-Five Ace e-Sports,8
"2045",LT,3
"2046",Amateur Team,2
"2047",AFTERMIND,2
"2048",Prodigy,11
"2049",Divinity,5
"205",DeToNator,6
"2059",Team Vitality,59
"206",Warthox Esport,2
"2071",Cave Canem,4
"2075",illusioń!,4
"2085",Team Fearoth,1
"2087",Team cNed,2
"2090",Team vakk,1
"2091",Team Davidp,1
"2094",Team ardiis,3
"2095",Team AsLanM4shadoW,3
"21",Prodigy,33
"2100",GMT Esports,56
"2101",LAGOS,1
"2102",Kungarna,5
"2103",Tale Quale,8
"2105",Team Influencer,2
"2106",Team Mixwell,2
"2108",CNCI BLUE BEES,8
"2109",Sneaker Daily Meloner,1
"211",together we are terrific,11
"2110",Team SHIFT,11
"2111",FFQ,3
"2112",X10 CRIT,50
"2113",ANKA E-Sports,2
"2116",Yes mies,1
"2118",TooManyQuestions,6
"212","303 Esports Orange",1
"2125",PffxD,2
"2128",Carpe Noctem,5
"2129",Mythicals,1
"213",Echo 8,4
"2130",Ah yeah gaming,2
"2133",Marten Gaming,1
"2136",seeker,1
"2139","303 Esports",4
"214",Way 2 French,8
"2142",EZPZ,2
"2146",Celeste,1
"2150",JustLose,16
"2151",Kantic Gaming,4
"216",China Nguyen,19
"2160",ZaPs Clan,1
"2161",Team Up,2
"2165",Aspire,1
"2178",PROJEKT RADIANT,4
"2179",+W party,2
"218",Team Underrated,3
"2180",Invicta,1
"2181",Omni,1
"2184",Hysteria,1
"2187",calclub-p,5
"2193",UnSigned,5
"2194",Lethal Grinders,2
"2196",NOT SNP,2
"2198",One Shot Esports,1
"22",Dire Wolves,6
"220",Intensity,1
"2202",OOKERS,1
"2207",Snowmen,1
"2209",Headshot Percentage,5
"2211",Team Mahi,3
"2213",SIGN US,2
"2214",On The Way,16
"222","2G4L",14
"2223",RED5,3
"2228",Dallas Vendetta,3
"2244",ANEW Esports,1
"2249",Spotlight,4
"2252",SLAMMING GEARS,2
"2254",TREMBALA,3
"2257",BAR100LONA,2
"2259",AU POINT,2
"2270",Foxy Araikordai,17
"2271",Project !,1
"2286",ex-EXO Clan,12
"2287",eUnited,14
"2291",Ghost Gaming,72
"2297",Les Braqueurs,1
"2298",ShockDart,1
"230",roLLed,1
"2303",Lightning,11
"2304",Giants Gaming,77
"2307",CISFAITH,5
"2308",Team Gravity,1
"2310",S2V Esports,4
"2311",GRAZHtAS,1
"2312",ESTONOESUNJUEGOVALE,2
"2313",Lenovo Legion Honvéd,4
"2318",Don't Even Ask,1
"2319",NoNamers,5
"232",Team nookyyy,3
"2328",NUTURN,44
"2330",Pit Stop,15
"2331",peanutz,1
"2337",IC9,1
"234",Full Focus,1
"2340",STAGA,4
"2341",Badmental Badgame,2
"2343",Rise Gaming,20
"2345",ÉPEGADINHA,1
"2347",Arcana,2
"2348",VIRTUOSO,61
"235",Trees Money Crew,1
"2350",Soniqs,134
"2351",Warriors,1
"2354",Movistar Optix,18
"2355",KRÜ Esports,52
"2356",Bencheados Academy,1
"2358",Stampede Gaming,14
"2359",Leviatán,3
"236",i miss her,1
"2360",Kaos Latin Gamers,12
"2362",Skull Cracker,1
"2363",Pro Hub Gaming,10
"2364",Ryze Gaming,9
"2365",Buscando Org,4
"2366",Phinance G,1
"2368",Mixery,5
"2370",eXiLe Academy,1
"2373",Rix.GG Thunder,25
"2375",FrenzyGoKill,8
"2377",Brimstone Gaming,35
"2378",SUPER SQUAD,5
"238",TRAUMA,1
"2381",Boberts-Bugs-B-Gone,1
"2382",Balanced Esports,4
"2383",Bounty Esports,1
"2386",FYB v2,1
"2391",Mangal,3
"240",M4LIK,2
"2400",Dem Boys Cold,2
"2402",NeverDone,7
"2403",NSIC,3
"2404",HOIIIIYAH,1
"2406",FURIA,35
"2408",HEET,46
"241",Purple Cobras,14
"2416",Cyber Skull Esports,7
"2428",SLICK,16
"243",Gamelanders Blue,83
"2431",Typhoon,5
"2437",favela aimers,4
"2438",B4 eSports,7
"2440",Squad5,8
"246",Cage Triggered,2
"249",Falkol eSports,10
"2499",Movistar Riders,46
"25",fish123,26
"250",Red Hot,1
"2502",ex-Phoenix1,1
"2504",ex-Timing Monster Gaming,2
"2505",Looking For Org,9
"2509",XIAO,3
"2529",Foxy,5
"2531",Elevate,6
"2532",Louvre,39
"2533",Alliance,56
"2536",KG Network,2
"2538",Barrados Do Divine,1
"2539",RED Canids,2
"2542",DAMWON Gaming,43
"2546",Hamtori ZunDeZinx,7
"2548",APEX PEOPLE,5
"2554",World Game Star,20
"2556",Gehenna Sweepers,1
"2559",SPEAR GAMING,6
"2561",GOMA,4
"2562",HONK,15
"2563",onemoretime,3
"2565",swieca mix,1
"2566",Ballista,11
"2567",Monkey Business,2
"2569",Seniman Grooming,4
"257",G2 Esports,118
"2573",Noir,1
"2577",Raise Your Edge,8
